source_node,target_node,relationship_type,description,purpose,achievement_goal
unspsc_reference,technology_skills,product_classification,Provides commodity_code classification for technology skills,Standardize technology skill categorization,Enable technology trend analysis and skill market demand forecasting
unspsc_reference,tools_used,product_classification,Provides commodity_code classification for tools used,Standardize tool and equipment categorization,Enable tool requirement analysis and technology adoption tracking
job_zone_reference,job_zones,zone_classification,Provides job_zone classification framework,Standardize job complexity classification,Enable education-job matching and career progression pathway design
abilities,abilities_to_work_activities,cross_reference,Abilities linked to work activities through bridge table,Map which abilities enable specific work activities,Enable ability-based job matching and skill transfer identification
work_activities,abilities_to_work_activities,cross_reference,Work activities linked to abilities through bridge table,Map which work activities require specific abilities,Enable job requirement analysis and ability development planning
abilities,abilities_to_work_context,cross_reference,Abilities linked to work context through bridge table,Map which abilities are needed in specific work environments,Enable environment-specific ability assessment and workplace accommodation
work_context,abilities_to_work_context,cross_reference,Work context linked to abilities through bridge table,Map which work environments require specific abilities,Enable workplace design and environmental optimization for ability utilization
skills,skills_to_work_activities,cross_reference,Skills linked to work activities through bridge table,Map which skills enable specific work activities,Enable skill-based job matching and competency development planning
work_activities,skills_to_work_activities,cross_reference,Work activities linked to skills through bridge table,Map which work activities require specific skills,Enable job analysis and skill requirement identification
skills,skills_to_work_context,cross_reference,Skills linked to work context through bridge table,Map which skills are applied in specific work environments,Enable context-specific skill development and training customization
work_context,skills_to_work_context,cross_reference,Work context linked to skills through bridge table,Map which work environments utilize specific skills,Enable workplace optimization and skill application maximization
interests,basic_interests_to_riasec,cross_reference,Basic interests mapped to RIASEC categories,Connect granular interests to broader RIASEC categories,Enable multi-level interest assessment and comprehensive career guidance
riasec_keywords,basic_interests_to_riasec,cross_reference,RIASEC keywords mapped to basic interests,Connect RIASEC descriptors to specific interest areas,Enable natural language interest identification and automated career counseling
dwa_reference,tasks_to_dwas,activity_mapping,Detailed work activities linked to specific tasks,Map granular tasks to work activity categories,Enable detailed job analysis and micro-task optimization
task_statements,tasks_to_dwas,activity_mapping,Task statements linked to detailed work activities,Map specific task descriptions to work activity framework,Enable comprehensive job analysis and task-based skill identification
